ListingID,HostID,NeighbourhoodName,RoomTypeName,Latitude,Longitude,Price,Availability365,SnapshotDate
1197083,6540102,Saint-Gilles,Entire home/apt,50.82524,4.35395,79.0,18,2025-06-21
1200538,433586,Anderlecht,Entire home/apt,50.83992,4.33636,139.0,245,2025-06-21
1212814,6620396,Bruxelles,Entire home/apt,50.85574,4.34643,72.0,0,2025-06-21
1237447,1764707,Bruxelles,Entire home/apt,50.84861,4.35703,106.0,358,2025-06-21
1241604,6767876,Bruxelles,Private room,50.85669,4.35469,39.0,32,2025-06-21
1248982,6805921,Etterbeek,Entire home/apt,50.83821,4.40253,76.0,173,2025-06-21
1255845,6840814,Saint-Gilles,Entire home/apt,50.82456,4.34105,91.0,330,2025-06-21
1259022,995442,Etterbeek,Entire home/apt,50.83234,4.40438,91.0,194,2025-06-21
1281585,6973611,Etterbeek,Private room,50.83076,4.39729,45.0,69,2025-06-21
1282520,6973611,Etterbeek,Private room,50.83076,4.39729,45.0,76,2025-06-21
1300465,3277945,Schaerbeek,Entire home/apt,50.85915,4.3831,162.0,36,2025-06-21
1322759,7180341,Forest,Entire home/apt,50.8195,4.34577,107.0,192,2025-06-21
1341985,3845557,Ixelles,Entire home/apt,50.83484,4.36703,80.0,85,2025-06-21
1353843,7345304,Saint-Gilles,Entire home/apt,50.83208,4.35263,120.0,172,2025-06-21
1459052,7821832,Etterbeek,Entire home/apt,50.83109,4.38782,44.0,229,2025-06-21
1513672,8082639,Etterbeek,Entire home/apt,50.83021,4.39907,104.0,361,2025-06-21
1541871,3472841,Ixelles,Private room,50.81667,4.36898,79.0,356,2025-06-21
1591834,7975542,Ixelles,Entire home/apt,50.82918,4.37223,75.0,325,2025-06-21
1599393,8123156,Woluwe-Saint-Lambert,Entire home/apt,50.8491,4.43415,77.0,276,2025-06-21
1603428,8543563,Woluwe-Saint-Lambert,Entire home/apt,50.84901,4.41575,144.0,172,2025-06-21
1631767,8669957,Bruxelles,Entire home/apt,50.8585,4.35198,65.0,337,2025-06-21
1748384,9200458,Ixelles,Private room,50.8184,4.38404,36.0,192,2025-06-21
1770977,995442,Etterbeek,Entire home/apt,50.83326,4.40494,82.0,235,2025-06-21
1790253,3047800,Ixelles,Entire home/apt,50.8342,4.35778,529.0,168,2025-06-21
1805616,8454365,Etterbeek,Private room,50.83553,4.39127,46.0,156,2025-06-21
1842688,9628959,Saint-Gilles,Private room,50.83384,4.35325,53.0,227,2025-06-21
1852275,9200458,Ixelles,Private room,50.8185,4.38398,36.0,207,2025-06-21
1864099,9699597,Ixelles,Entire home/apt,50.83434,4.36091,77.0,56,2025-06-21
1871520,5575455,Ixelles,Entire home/apt,50.82263,4.36457,88.0,357,2025-06-21
1892579,9837706,Uccle,Entire home/apt,50.81533,4.36094,59.0,175,2025-06-21
1896021,9850704,Bruxelles,Entire home/apt,50.85539,4.35058,91.0,24,2025-06-21
1897051,9849037,Molenbeek-Saint-Jean,Entire home/apt,50.85021,4.31126,2000.0,270,2025-06-21
1911703,9918617,Ixelles,Entire home/apt,50.82297,4.374,552.0,270,2025-06-21
1938833,10030076,Uccle,Entire home/apt,50.80196,4.33878,143.0,361,2025-06-21
1982347,10229012,Bruxelles,Entire home/apt,50.84803,4.35661,90.0,253,2025-06-21
2044409,10483074,Etterbeek,Private room,50.83038,4.38715,47.0,86,2025-06-21
2058827,3560685,Ixelles,Entire home/apt,50.83548,4.36021,65.0,253,2025-06-21
2133039,5431752,Bruxelles,Entire home/apt,50.89059,4.33235,111.0,171,2025-06-21
2144363,10933904,Etterbeek,Private room,50.83484,4.3911,53.0,319,2025-06-21
2157967,3664905,Etterbeek,Entire home/apt,50.83755,4.39929,95.0,199,2025-06-21
2174602,10075850,Forest,Entire home/apt,50.82608,4.32711,80.0,116,2025-06-21
2179883,11117581,Ixelles,Entire home/apt,50.8178,4.37689,99.0,61,2025-06-21
2191342,517059,Schaerbeek,Private room,50.8704,4.37707,81.0,0,2025-06-21
2205932,11254551,Etterbeek,Entire home/apt,50.83465,4.39492,186.0,294,2025-06-21
2240387,11440559,Forest,Entire home/apt,50.82025,4.34065,123.0,32,2025-06-21
2281629,3934484,Saint-Gilles,Entire home/apt,50.82893,4.35443,80.0,297,2025-06-21
2394373,2366161,Bruxelles,Entire home/apt,50.84594,4.3851,88.0,137,2025-06-21
2423563,12384813,Anderlecht,Entire home/apt,50.83921,4.33027,50.0,306,2025-06-21
2475235,9628959,Saint-Gilles,Private room,50.83384,4.35325,57.0,355,2025-06-21
2527721,10320461,Bruxelles,Entire home/apt,50.85312275121615,4.341664003696464,92.0,301,2025-06-21
2548802,9628959,Bruxelles,Private room,50.83502,4.35326,60.0,346,2025-06-21
2584960,13234621,Schaerbeek,Private room,50.85674,4.37278,34.0,173,2025-06-21
2585315,13234621,Saint-Josse-ten-Noode,Private room,50.85642,4.3724,18.0,206,2025-06-21
2624534,7141707,Bruxelles,Entire home/apt,50.85233,4.34401,55.0,208,2025-06-21
2661950,13604244,Watermael-Boitsfort,Entire home/apt,50.79663,4.41812,93.0,331,2025-06-21
2682841,13725702,Bruxelles,Entire home/apt,50.84113,4.38474,38.0,132,2025-06-21
2692776,13704251,Saint-Gilles,Entire home/apt,50.83173,4.34155,175.0,98,2025-06-21
2701606,13825389,Bruxelles,Private room,50.85246,4.34562,69.0,316,2025-06-21
2718496,10033035,Bruxelles,Private room,50.89195,4.33994,48.0,78,2025-06-21
2723814,13939420,Ixelles,Entire home/apt,50.83289,4.36961,90.0,21,2025-06-21
2740809,13741640,Woluwe-Saint-Lambert,Entire home/apt,50.84569,4.42647,225.0,25,2025-06-21
2769689,3324403,Forest,Entire home/apt,50.82573334644584,4.338020625717905,87.0,149,2025-06-21
2787957,6767876,Bruxelles,Entire home/apt,50.8546,4.35301,64.0,10,2025-06-21
2788585,14263376,Ixelles,Entire home/apt,50.82004,4.3582,90.0,0,2025-06-21
2800102,11238997,Auderghem,Entire home/apt,50.817909,4.438234,180.0,16,2025-06-21
2853699,14589255,Bruxelles,Private room,50.84132,4.33972,50.0,85,2025-06-21
2912042,6251871,Forest,Entire home/apt,50.80604,4.31795,39.0,36,2025-06-21
2920051,641036,Bruxelles,Entire home/apt,50.84509,4.35043,115.0,262,2025-06-21
2971539,8806477,Ixelles,Private room,50.82006,4.35621,68.0,318,2025-06-21
2973380,4297353,Forest,Entire home/apt,50.81407,4.33371,235.0,363,2025-06-21
3008655,3647636,Uccle,Entire home/apt,50.80887,4.34476,80.0,217,2025-06-21
3023179,15406050,Forest,Entire home/apt,50.81162,4.31748,36.0,319,2025-06-21
3206427,6031166,Bruxelles,Entire home/apt,50.84487,4.34857,78.0,98,2025-06-21
3207515,16251248,Forest,Entire home/apt,50.82549,4.33431,37.0,281,2025-06-21
3249413,12481077,Ixelles,Entire home/apt,50.82058,4.37722,114.0,275,2025-06-21
3274198,6685454,Saint-Gilles,Entire home/apt,50.82598,4.35069,213.0,21,2025-06-21
3301799,14969431,Ixelles,Entire home/apt,50.82664,4.3587,75.0,363,2025-06-21
3359403,263321,Bruxelles,Entire home/apt,50.8549,4.34608,152.0,76,2025-06-21
3364421,7922860,Saint-Josse-ten-Noode,Entire home/apt,50.85133,4.37189,83.0,258,2025-06-21
3408398,17188078,Watermael-Boitsfort,Entire home/apt,50.80324,4.42136,149.0,36,2025-06-21
3475023,12534520,Bruxelles,Entire home/apt,50.82999,4.3639,409.0,347,2025-06-21
3479010,8077245,Anderlecht,Private room,50.83706,4.31577,36.0,66,2025-06-21
3531930,2071643,Bruxelles,Entire home/apt,50.8547,4.35459,120.0,331,2025-06-21
3536918,17806660,Ixelles,Private room,50.82013,4.38934,69.0,293,2025-06-21
3574815,13234621,Saint-Josse-ten-Noode,Private room,50.85537,4.37095,18.0,202,2025-06-21
3611366,18197196,Bruxelles,Private room,50.84406,4.35333,189.0,315,2025-06-21
3717573,18980422,Auderghem,Private room,50.81202,4.42256,65.0,255,2025-06-21
3718574,18980422,Auderghem,Private room,50.81202,4.42256,62.0,267,2025-06-21
3738686,3596694,Molenbeek-Saint-Jean,Private room,50.85194,4.33565,72.0,302,2025-06-21
3779212,6271678,Bruxelles,Entire home/apt,50.84847,4.36492,107.0,295,2025-06-21
3779804,19388059,Schaerbeek,Private room,50.86248,4.38159,40.0,363,2025-06-21
3806045,3709960,Ixelles,Private room,50.82861,4.37256,32.0,225,2025-06-21
3832032,19727163,Woluwe-Saint-Lambert,Private room,50.85168,4.43438,26.0,27,2025-06-21
3833127,19734824,Ixelles,Entire home/apt,50.81799,4.38463,122.0,68,2025-06-21
3835232,19750290,Ixelles,Private room,50.82259,4.38761,34.0,180,2025-06-21
3837533,19765263,Bruxelles,Entire home/apt,50.84642,4.37907,104.0,16,2025-06-21
3877055,20034265,Bruxelles,Private room,50.84701,4.38219,142.0,41,2025-06-21
3896915,20174303,Etterbeek,Private room,50.83058,4.40264,23.0,314,2025-06-21
3920306,20307537,Saint-Gilles,Entire home/apt,50.82926690000001,4.343036,113.0,299,2025-06-21
3931171,20034265,Bruxelles,Private room,50.84778,4.38052,160.0,38,2025-06-21
3961475,20034265,Bruxelles,Private room,50.84713,4.3808,157.0,28,2025-06-21
3967246,7141707,Bruxelles,Entire home/apt,50.85206,4.34595,85.0,127,2025-06-21
4006327,18197196,Bruxelles,Private room,50.84408637865083,4.3534817695617845,181.0,303,2025-06-21
4037885,20934668,Schaerbeek,Entire home/apt,50.864658,4.380542,131.0,128,2025-06-21
4267976,22156455,Uccle,Entire home/apt,50.79371,4.36704,68.0,191,2025-06-21
4269259,8829979,Bruxelles,Private room,50.89434,4.36391,60.0,350,2025-06-21
4321006,22434640,Bruxelles,Entire home/apt,50.83999,4.38083,88.0,117,2025-06-21
